user_pseudo_id,num_sessions,cnt_events_total,cnt_events_first_1h,cnt_events_first_6h,num_distinct_event_types,min_to_first_level_start,min_to_first_post_score,min_to_first_level_complete
2F1ACD9322D327743CC4633C09DAA816,0,64,63,63,12,,2,
0FC4AC37E35E2B4A7A5137B1863834AE,0,125,111,111,8,0,,
A7A82810484F6D99DDFF8A737E8BFC41,0,173,105,173,12,,3,
B82ED5B2461E8E16AF0375FA754F6083,0,66,66,66,11,0,,
8A0DCF53673262EF517F80989EE60BB3,0,529,101,101,21,0,464,
87A95949D12E9C9263482FB202E791BD,0,194,63,63,13,0,5,4
FAAAB64EBB4491B6E98BD3E68DE9EEA9,0,249,139,139,20,0,2,2
625CF86657E00A4629BCE49F5B31A144,0,239,135,135,9,0,1,0
9E635066BDD2E61E59252D382E0D2C61,0,86,86,86,11,,0,
CCF21A11C5F30A2F7787A0DD822F9126,0,79,79,79,10,0,2,2
9B6D674F62DE7BFAE7FFE7E5D9DBA75A,0,157,101,154,17,273,0,273
495466C2475D9A12548D8CEE1515A0A7,0,72,72,72,12,,1,
8F288CAB6C6396741C17C83D5FC44C5F,0,282,71,212,22,0,4,3
48FEAB5E27D804CA5A51958469130938,0,380,103,380,11,,0,
4EA4BB597E4AFD7B452F7C8669B5AC13,0,254,153,251,18,,0,
FF6488918D5210F79676433098CAB3AF,0,166,166,166,14,,1,
5D46BA742602176E2BD6E6B3917E08C9,0,491,83,168,15,0,2,1
A2281FA1184C2133E29BBA7867CE8772,0,145,145,145,15,,1,
0AF88844C2C33610A65F5E97D8242160,0,104,46,104,11,,1,
A70F93732F53567BA590C193EF97579F,0,140,140,140,15,,1,
184B6DE721CD75D84BB9975E19003195,0,105,45,102,10,0,,
17878D984E2ECAF7EA975FBB25470772,0,111,111,111,17,5,0,
9163793ACEF2D57D8DE2AF65748362F3,0,143,143,143,15,,1,
5558FE9EAD95706AE24CB71073CFAFB0,0,259,259,259,13,,0,
B3D92DA6A322D6E281B13D8CB56325FD,0,149,88,88,14,,0,
6CE415DB4064A3F9905FB2A33392C084,0,100,66,100,11,-1,2,1
06FA949F660356601FA8511E3CD19780,0,146,146,146,11,0,2,1
35B864A5932E1A0A5F30D41B9F56112B,0,520,121,432,21,0,7,6
74EBB77622C58B0BC1D999D9BB4BCDEA,0,179,178,179,14,0,2,4
F7C26C99D64FCE9BC900822234927579,0,102,102,102,16,,0,
C60EACB47CF25AEEFD16C5E332078852,0,132,132,132,11,0,,
81C75CB599BE7E11A66110C3FE9D0050,0,549,113,549,15,0,7,7
BDBC2F9BBF4E4C3CF703D9A9149FCCE6,0,59,59,59,8,,,
94A0E49810A84737C89D3DD2F6DE926B,0,280,216,280,18,0,5,5
26672D1870059178E37D4C674138EF01,0,178,93,135,12,55,56,55
A4276BB068C2083DA48F0D21537DB090,0,251,99,125,11,0,,
BE6664960A816581032BA83785812C9C,0,60,60,60,15,,2,
158D85747B252579015AE58305CBC8C1,0,280,109,186,11,0,257,256
BA37E4B37B8313F2FFA6F52545C76819,0,82,82,82,9,0,,
4F8A02D6FC2B4E2A71F2FE9943CE633C,0,73,58,73,15,182,1,185
EE99F8CB32999A0FDAABBA18B05D4E48,0,111,111,111,14,0,2,
EF7772819E807EDBD8DB0F0B5210030E,0,409,100,100,14,0,3,3
FCB218A1B5C858D56B849CA70EDCF6B4,0,132,130,130,11,,0,
EC1A759709685E136767F2C1BA4751ED,0,79,78,78,11,1,14,14
56FA726AC14329729C5A9B020B508034,0,593,536,593,12,0,4,4
1D435E381B7264B0A2DDDC9D911F9AE8,0,437,204,395,21,0,0,
3E5101BCD089218A0E026C6750673B33,0,127,127,127,14,1,4,2
428B364B8F2B42ED8D7C5AD1020705EF,0,170,170,170,19,0,1,
827848D9C0FD18D44110098CEC982CDE,0,121,121,121,12,0,9,8
59772415A60A0B7E16588D219D7B85F1,0,66,66,66,13,,1,
B05B44F98AC43EA887A1B78C3552A927,0,243,74,101,15,,0,
6A2F4E7AB1816D2F6EC741BC92141766,0,609,229,437,21,1,2,2
D4A45A0CA838C439F64D565450B9A7D6,0,123,123,123,15,,0,
270BB513258E82FEB9BB23091073E82D,0,229,229,229,18,,1,
B215751EAC030DECC9124D90D2AC41A9,0,110,110,110,14,,0,
171871CA6AF9A891FB7B3E19CD144B2E,0,305,144,144,18,468,0,
A62D86FAFF43F1EC89D6F867915D7D56,0,111,73,73,14,,0,
6F6C09DB9EC0E34E7DD2B41417B86456,0,79,79,79,15,,0,
43B8EEA09D7D62EC90F40D0E3716E960,0,75,8,75,13,,81,
42421044D6B3F0190A37145A20403036,0,192,134,192,14,0,317,
887A958AF69B7172916C3748444BFF0B,0,211,129,129,16,505,0,
D4CDA4001F08FD3C51A012294B1189DB,0,113,113,113,17,,0,
1DC9B625F2C4F54E9281D4D19F9FEBBB,0,306,306,306,15,,0,
FFB030A91BE1315EE25A6BA619E1D903,0,633,172,485,15,,0,
9991D4763C564343D9B899E4BEA9D4F8,0,73,73,73,12,,0,
C2FBFD78E9734D601D394DA76099EBFD,0,317,77,77,11,0,2,2
3E15EFF438B220418EE37589F6D9E059,0,67,67,67,14,0,0,1
04EF01C1F4723249F90F920DF018F16C,0,89,89,89,14,0,3,
058AE4BB2F67DEA4C6ACAA22AEB71BF2,0,87,87,87,8,0,,
F916D30FAD36F1282F98AEA3D580BEBE,0,172,6,126,18,531,245,532
5F999ACCE9C256E1A4408577345DBEE7,0,104,73,73,10,0,3,4
503AB1BC9E19C89B0425ED404E60F062,0,1265,348,782,22,1226,0,1226
663EAD1943AE7594E0633D10ADB5EF52,0,394,205,205,25,1,1,1348
FA944230F31FE2B6FB255BFC9679C0F8,0,719,271,308,24,1003,0,
C49CCEF7153CC689399E7BFFF3AE2A73,0,121,121,121,17,0,2,1
053FFBAB6879C1E7E1915E40C191F61D,0,190,126,190,23,0,3,3
F408520947ED05F322604CDB9192E943,0,60,60,60,12,,0,
4CA59854D12A61B673D5498111BBAE99,0,70,70,70,13,1,4,3
278FA6F6853A97CCDDB1368234B5EF28,0,132,132,132,18,0,3,
E19F04BAB15FBA761833F71BCF5D97D3,0,137,74,95,15,1,34,
72F09205C195C6255BB88E9207C9CD49,0,421,392,392,22,0,2,
54D2AF3BAD2CA938D3C47826DCDD5270,0,137,137,137,12,1,1,0
051BB6E9EC8D2B13A70DB57A132B1A2F,0,74,74,74,12,,0,
8EC570B139B21E7F732BDDE2FABF2B04,0,145,145,145,12,0,,
EB99C89019A942D2EB163306B7EC89EB,0,127,127,127,11,0,2,1
A99061D3C2035CA9ED2E8188BB15394D,0,69,69,69,10,0,3,2
D070996B417D3DD0E6429A11FA4C5AB1,0,169,130,130,11,,0,
CF3E30C268C370CB5E075ADCF0D0859A,0,122,122,122,12,0,3,4
276EA0F867FD5E24356C984081FA959F,0,339,257,309,18,0,4,28
5D53102B0F6AAA96D3FC1C0633890970,0,154,101,101,17,679,0,
E920D72AFB16365797955E46913E2599,0,200,162,162,22,0,1,
FFDDF354D9B9E851D2A62ABAEA17DA3E,0,518,135,135,24,0,2,3
84F55D39B331B4D51467A32FECD5F0A5,0,469,160,160,17,,0,
469473B2E1C330A74286BA52BA3CACF5,0,167,167,167,20,17,0,20
4CC453DA57531954D7C053B93A20B5D0,0,549,289,289,15,,0,
6344D6DD4B7741E868D17A8CC19E03C8,0,204,140,140,17,6,1,
CC0EF7F0565D2D90455B2B2E416609B8,0,76,76,76,13,0,1,2
8D486EFDDB5C76031C3110CE58772B8E,0,183,183,183,16,,0,
E020680BE3366217F20F02840856AB51,0,129,129,129,12,,0,
3CE1655CEC10EC3111E5A5A7B267C017,0,75,75,75,14,,1,
C29C4E628FB29C569CDA43CBECB6E2A2,0,75,23,75,10,,78,
67D3D76504CC5C4CBFC78EE4FC397C8B,0,113,113,113,12,0,1,1
0437C4C4800106103B7B7EBD7A7CD76D,0,71,71,71,10,,1,
99C7EF05303C88ACFDE2A301AD578F59,0,309,309,309,15,0,4,5
97533889633426FCBD7C424143F2A869,0,59,59,59,11,0,3,3
7CF3B98BA255D1BAEBCC34B9B876439A,0,78,78,78,10,0,,
5CBFAFD868621BAD73A10507D22105C4,0,66,66,66,11,0,39,39
1BA4C4E8652A5EAD573B26140AD12235,0,256,171,256,14,,4,
944F8921A3DA4C3E6B913ED257E9FD4C,0,90,90,90,11,0,,
8CEB26799D9B0D577FF288366EA07024,0,540,293,540,19,33,1,34
71D48EBE5B5D35AD212FCB07379663E0,0,323,124,124,13,0,2,2
AED716F2A571507087AF004F331D9949,0,470,171,171,22,1,50,49
55C9C6FB51642F734F0D41148A8C63D2,0,138,137,137,10,0,2,3
C6686091275E6BF92DA682AAD9B72A63,0,67,67,67,9,0,,
09F08BC9ABD1D8E3DC00A6C5EF24B67C,0,119,118,119,18,36,1,
1C93EDC08BD29847559EC3853A9D5C80,0,129,129,129,12,,1,
36EB2A55E0FD24E93BE639443614DC49,0,76,76,76,14,,0,
491146C3F268CE8EDBE7652004FDF5A9,0,83,83,83,17,0,1,
056C1D2163904A57265DC50D259ACEDF,0,62,62,62,9,-1,0,0
6FF061389484FDBF848F4269BA306E25,0,166,166,166,16,,1,
D76F01A8777D4780F2AE6F9A1F097F29,0,198,176,192,13,0,6,7
CE89066E59423713F07FEA2BE01CDF6D,0,171,171,171,10,1,1,1
1E37BA808C4C864558FBF1C76775BC59,0,559,248,248,20,3,1,
C528FD5F1BEE6A7E99E208005A56167F,0,771,506,608,19,0,0,717
9B3B7AB4B77B74807ED37CD63DE0624E,0,187,93,187,15,0,1,118
71AAE70AC95236B7ADF665241789A2DB,0,564,363,492,24,0,2,2
D37A5EC9F79C593DDB7840E9AFB3FF1F,0,122,122,122,7,0,,
814700C58B117F7ABFFB1145B9C29D29,0,302,242,242,18,0,5,5
6A24D64A89D95F922CF43FD19EB2189F,0,610,609,610,24,0,2,1
342C835CEA858EF92FA64D22B41FB031,0,184,184,184,14,0,11,10
B0153FFD55333D4C4B546EC5B3FAC70E,0,205,165,165,19,0,2,3
130C423896FDF134ABA8F275D4664B96,0,99,36,61,13,,0,
9A8AE3E564C39A19676EE9F610D4315D,0,89,89,89,16,,1,
C8859A791226C6027B90F72F880C3528,0,168,35,168,18,1,190,190
78DFBCE95F1E46CB9715D410A556FCF1,0,215,124,124,11,,0,
CEA79F13743A84BC8ABA238AB7D2851A,0,569,323,569,22,0,4,3
1CE1B47B82E95E803320CAAF30EC6BD6,0,111,38,111,19,19,78,
A280D8AFC3B8FF9FCCEBBC042D9EC548,0,138,138,138,9,0,0,1
16F21707AB536E83A9CE8EABDB5C4E95,0,141,118,118,17,1,2,
91A73E29EFC7505DD84181ABFDC0244B,0,142,142,142,16,,1,
D4B90F489AEED383CB46669EEEB12E92,0,1586,483,483,20,1345,0,1356
329CED961E142CCB57A242EF7E7CD210,0,107,80,80,18,1,0,
E4845D0C7B061876685E91DFDEA57D6B,0,127,127,127,13,,0,
E0EDC4F06D823832B65151832F98D679,0,158,37,76,18,0,337,
4C18E92173DBE0764C2CC29D174E3A46,0,943,657,943,14,,0,
645ADF1505EA560FF95D65650EAB212A,0,121,121,121,12,0,2,2
5805D47F03137321BF07BFA22CA09B73,0,256,179,179,13,,-60,
9BD663F05EA7660B40800C28E2BF59FC,0,240,182,240,10,-1,12,11
46B5EAFD9FE97971DE35E6A1876B7963,0,138,138,138,9,0,,
80662734A6A658F7713A71428B9AA027,0,192,131,131,17,1,2,
6281B5ECD3AE4FEDA451D682B2EE0310,0,84,84,84,10,0,3,2
96B6D639BF5D2D99108B15A023F86CE0,0,141,79,112,18,0,1,2
A1927ED722EA16A3B82E7EE0FA22FF4F,0,273,179,179,11,0,0,0
8363E790DBAB5768F48EA4C7DBAC640A,0,115,115,115,16,7,6,8
F4959CFD58B29ABDECD09DAEF708DCF9,0,125,125,125,10,0,1,1
7D00CBC7C817DFD9E744B384BE9404A4,0,75,75,75,16,1,0,
0798BB6B8C026CEFB003241B31932B67,0,88,88,88,15,0,2,
BBF92A0573AF89B5F5F951D1E4A646EE,0,63,63,63,8,0,,
B870598E0A2971B35047F79B0B5697F0,0,169,100,100,19,0,1,
9A46A573C1A4263A449716650F25ABFF,0,740,356,740,18,214,1,
F599994183A869707DBC45EDCC6013D8,0,632,632,632,13,0,7,7
82DAC9EC6C9E95BA8287CF434CCA4BA2,0,410,108,410,19,285,276,
B12D9E0E066552EB8731BF7B4718BFE6,0,90,90,90,11,0,,
5F55229783945643E221435546DFEB61,0,94,94,94,13,0,,
6D09A5709AD178B871EC33408B54DC9C,0,254,254,254,11,0,6,6
14F4D707AE361449EAD9AA64EBA77074,0,106,106,106,13,,0,
B2DF8884B2085B1CC81A07A5EF1BA1F6,0,75,75,75,13,,0,
5E9C0D52A036940E598263D4CFD634BB,0,132,115,132,11,0,10,11
C5894857AF2A8C446F4BEF7280E8435C,0,440,207,390,21,0,2,2
8DE599AB2826213ED4520C02445AC7E8,0,344,112,112,9,0,3,3
815B0247A1287E59F6967A070E22FB1A,0,100,100,100,9,,0,
F48068D48F128396D10068654BD1CB74,0,269,269,269,9,0,10,9
A7CD24BA8CF8402BB72D15ACCF943F28,0,120,83,83,11,,0,
8D74209816945E39351F2756CC97E3F5,0,201,189,201,16,0,2,
0D776A18192B672CB9C9BC0033881F12,0,69,69,69,12,0,,
6A46B8ABEFB8887AEF6AE0D3B02A9800,0,67,67,67,10,0,2,3
D2F2E70C7BC89126AF1775DDFBBF56FD,0,329,220,324,13,,0,
AFEAE67E8EED1A3F43A669B7EFCBA05A,0,72,72,72,7,0,,
2569269D676A75D1F97D854439C3B2B9,0,99,99,99,16,0,1,
3CD3AC2C957C5B7406C88ED9DE64E03B,0,116,116,116,13,,0,
43D27F6D77E6A3B68872B6786AD0DAB4,0,419,262,322,22,8,0,10
0CFD16A46A05B5BD29D3A37284B94CBB,0,318,103,103,24,1024,0,
8680E9C6F3ABE3B95FCF44EA5D7DB200,0,458,145,282,15,2,0,
B7D2B63ABE215157570ABD2E2E6EC9BE,0,231,145,145,19,,1,
CEF3AC7B61219F2A262D28A942BABABA,0,103,103,103,18,,0,
6D717745A9FF51CA21D39208C1668378,0,1502,351,510,20,0,2,
3D01F29FF62523DD188D5431D714DD82,0,91,91,91,11,0,1,1
BA3E7A5857FD7BE68F02E4D2F5744BE8,0,308,128,128,14,-1,2,1
FB0BC6BA27FF757DFB99AA84FD7F03C4,0,113,113,113,14,,0,
E0F1DC58BE9661A3DFD9C3228B179C29,0,702,347,347,20,940,1,
3A9B0C063FC309F0B918C7885EDEA71D,0,62,62,62,10,,0,
FD73CD8F923981553C861D7ACCE76D27,0,65,36,65,11,-13967,1,1
528939A93F1D3693AD8A56F340B7D777,0,83,83,83,14,0,2,1
6870FFBF31EA0EC710FF2A8A867B99DF,0,1823,673,1823,18,0,4,
BE61D8C4638179DDF8AE97E81226FD7E,0,71,71,71,13,0,,
5E8F210C2A6778D0E6194D50118E5915,0,94,94,94,17,0,4,
9D080010659E58645D8E0765DF83ABFD,0,167,166,167,16,2,10,11
46CA92D04BFF870993303FC1731896E4,0,84,84,84,13,0,1,1
AC647FA13B5D53D15A6FA039B3999C1C,0,140,140,140,11,0,17,16
942E123C7E8C0B62935889D03D77BE8E,0,538,176,497,18,1,5,138
3E7B4C25642C7BB53A61F09572FDCE2C,0,66,66,66,12,0,,
C20630B2B28362756090FA8E81663519,0,279,202,202,15,0,4,4
4D9A97A72C6885E5E4C887DD9D9CE18B,0,105,105,105,11,0,1,1
BF050559A5231C5FE89B5BCB3716F8FE,0,266,253,266,19,0,2,
D0017E7DBFA9EBA3DC51FA8A4B1C1712,0,135,135,135,12,,1,
497308A94C26945E008226F51C49C706,0,506,310,405,15,,0,
DD2269BCB7F8532CD51CB6854667AF51,0,998,125,592,11,0,3,3
5B4FD8662DAD71406319200659FDF420,0,290,67,85,17,321,0,323
31AAC4CB1A4E09F959E460458C8AAF9D,0,73,73,73,8,0,,
35D7E0527C5BC0E5044EF3716C845E08,0,476,245,385,21,1,3,3
D7AE63DAF36D20FB4251D41A02DBDF91,0,117,117,117,11,,0,
47A8CC215AA66ED9190E8E11879B8502,0,94,81,81,17,0,0,0
25B3D1AFECED8B78DA6FAF65B71AF56E,0,683,102,102,21,0,17,17
B031972D09407ADA6FA8382D06AC6E17,0,103,103,103,16,,1,
C7BD490452F7CBF2D49339DF6F53072D,0,141,105,105,15,,1,
0043CF8841C819015ACD25710D333113,0,79,79,79,14,,0,
D9563E61AC76501942B6B3B4EBA2BFE4,0,207,148,148,17,,0,
C6A7944A89B197BA37F78AC11FFCF44F,0,131,131,131,16,0,0,
1458DD2FE0BA99EE08FE02D37DFA8058,0,119,119,119,15,11,1,
249BF9FA78E4B6EA5D4397758317645E,0,215,90,90,18,594,0,594
15580E78B3CF93AA028B5376350129FD,0,579,579,579,22,24,0,
112CB2002BE857C7D877423F153071F2,0,275,236,236,15,,1,
D79E2BD5C4F03A851FCD2B1486FF41CB,0,178,178,178,22,4,0,
F0D351F27939E65C41A0CF63ABBD521A,0,91,91,91,13,0,0,
F92D709544706150AAB5CF4BC9451A00,0,83,83,83,10,1,1,1
87E84A5898B36F9FADF2DEE7B8E64E68,0,82,82,82,11,0,12,11
4BB019F8F6D1FE7BA78CA42A4698EF56,0,133,133,133,22,0,4,4
BB29F8B0FF330F326605FA421BB37BC1,0,63,63,63,12,0,1,2
C96C96A3BFA142C6B393183BDB2B9DDB,0,1261,520,1043,15,0,1,0
927440EAB12161D8B4A209CCB8B64D4D,0,247,247,247,15,0,1,1
1C707CBC0853CB4EA6B2EB075D1CDCE3,0,123,123,123,17,1,0,0
D07EB9B932D208DA09AEC1042B2029C1,0,149,149,149,15,0,,
10E9895D671A377BE368B31F5A36D50E,0,124,124,124,15,0,0,
1411655CCE0C545C2B6E32F6DE994D9E,0,72,72,72,16,0,4,3
7FDDC95340BC25D0D2BD52328DCADD7E,0,1017,196,196,22,0,6,6
AF4F16A9D1C2CA93686E7CBD2EB349E3,0,561,527,561,13,,0,
33A1F72714BF8B0591A135AFC746C038,0,385,377,377,11,0,1,2
4059062E59F3605CE7A574DCD9997571,0,179,106,106,19,0,8,7
9434EE4CFDFE0F5BCFE40126A569F3BB,0,124,81,81,15,,0,
7FA56DB7021C1FAF388D6A61796D280D,0,101,101,101,14,4,0,
10CD441F79B53D8F7E281C38ACBEE2C3,0,85,85,85,16,,0,
10C65E08F958FE2115B67505742C2CA5,0,93,93,93,14,3,0,
0E5DAB111CB3C0001C0019712A83CB49,0,112,112,112,17,0,1,
5AE684C539DC4038371EDCBF649BFED1,0,165,93,93,12,0,,
8AF6C2B07CBA18947A6C608DC3805B09,0,100,100,100,16,0,4,4
EF2ABE51605E2E6787E32F4A2CCE1B5A,0,75,75,75,11,,1,
1A6F91AC412F27E9BDBD9BC56C86C403,0,72,16,72,11,0,0,1
6B6FF11DBC9C7BBDB88F3E245ED72447,0,77,77,77,12,0,,
8EFE27F10A3260E7BA120D0BA1E1D119,0,98,98,98,11,-1,1,1
2C9A6D36285855C29FB73A0D7FA47BBC,0,348,348,348,11,,0,
4BE56484BCED8D482626223F001B8CA7,0,70,70,70,16,0,1,
7657E94F33F780A1D896FBC9237E5ECC,0,668,668,668,22,1,2,1
B8C8015FECAD94364B76E74CA9C1A946,0,205,176,205,15,0,17,17
6B41B995AAB96DF47E8B522BBD2358C3,0,119,119,119,19,0,4,4
47FFEFAC7F5218B6AEC9B40FBE508617,0,97,32,97,10,0,2,1
1B224BEF5B098515A60BACA8068E3239,0,85,85,85,13,0,1,
AE6B66CEF19D0E52890C9342580C77F0,0,87,87,87,13,0,1,1
F5CB35D57851869EC936923955C57F18,0,138,67,67,13,0,392,
27A574ADFE1884A1F60965FE0A2F8C6C,0,214,88,88,18,1,2,1
8F773E0EB0BB6A4C55F42382025236C6,0,186,39,186,18,0,300,
329041D331D6165A7AB15EA5D452A8E6,0,257,257,257,14,0,3,4
53ACAE15981F1A8F9A3133340D599299,0,1281,344,344,15,0,3,3
BA76817876248E69463610A0BBB14CE9,0,164,164,164,16,1,4,5
6D2A2ACEEBFA6A03101571BEB21FB18E,0,257,257,257,12,0,,
03780EE9CFF9761E7D40266B65D30158,0,111,111,111,9,-1,4,3
5902F784DB3A5034F7DD36525DC8EA26,0,363,360,360,22,1,3,3
63298E98F815474E6FBF26D341A1F741,0,290,95,118,10,0,14,14
D14D2E97033107F3810C23B89C93BFCA,0,461,105,205,18,0,2,2
78A54036AF8F03CB35B585AA88F4CBAE,0,80,80,80,14,0,4,3
84B38C413A7F3C683BCC6CBCCA246FBE,0,66,66,66,13,1,1,
935653C4BC596CCC45E040ECCBF1D2F6,0,75,9,65,11,0,206,
7FB0FA98A8949CD6D75B48C449DAE33B,0,189,70,99,13,0,3,3
21DCA7DC9C0479FEE7081E05188B6258,0,221,85,221,12,1,2,2
A20EF048E0EA159F48FF0B5C51894AAE,0,76,76,76,11,0,,
3B36DABA665909A2252F013BD95F5833,0,86,86,86,12,,1,
F3559B5B5E0B6D6028B8CB29E2286676,0,72,72,72,11,-1,2,2
7DCD9440F2BF5EB73FFCC4F26E26F580,0,1504,232,760,13,,0,
AC5992D988A9567EB1B331401A29204B,0,70,70,70,12,0,0,
08EA5579A2BB5C5672BFAD4C87F4943E,0,201,201,201,11,0,2,2
DFA0221031B3687A9F4C6ED3C57ACB78,0,214,214,214,10,0,2,2
ED17A20FA28EE30540FB85626BAFACDA,0,190,190,190,23,1,2,2
6B7AC428C2515490D44848CEA0B1EA50,0,170,90,170,13,,0,
8601A3659DC5C1F0444E5CCDA5ED3E14,0,1528,199,525,25,0,2,2
8CD638D1C8B7A36BE8B3C73195BAE010,0,97,97,97,13,,0,
D72DE09483AD7D6A0473CB0815C35951,0,129,129,129,22,0,2,
99893A88D6E3FC238CF49C830005E049,0,152,152,152,15,,2,
92B24CCD9BB089EA5EB113072F6202EC,0,98,98,98,15,0,1,
343EF0B5FF277FA9F30E341F74048B07,0,152,84,84,15,1,2,1
B19501509EADDDB42342340A93E2BAAB,0,802,255,802,21,0,35,
8A191E0C1E499B5F76701438E697EAC7,0,61,61,61,12,,0,
5DB4D9694245397E2381D3AF8F98A5AD,0,116,116,116,21,5,0,
BBB9A39EFD38AB3779B9555767333052,0,121,120,121,18,6,0,
B72F655A00A71326CF10DF887466DCBE,0,157,138,138,19,0,7,
C0D83C5172D706763BD43C78DA5F8011,0,120,120,120,9,0,,
78665185409E66882897117D28E0835B,0,329,284,315,17,0,1,58
D70E3065EC1118DEBFE88EE31CD55FC6,0,84,84,84,13,,4,
D9B4EC35EBBA4C2F9198A3AA08C4ADE3,0,62,62,62,14,0,2,2
A727F7557FD9F7CE772E19AAB3863391,0,202,202,202,14,,0,
E6850F5E0DAB3E339C6A36BDEECCA26F,0,407,93,111,14,0,0,1
BB1B4292DAEC42FDE09DE0A0663AB1BB,0,733,113,114,23,514,1,514
5DE9F58989541B95D91F859058BF71E7,0,90,90,90,11,0,2,2
19682EA2300D1B6326F14D0BAA1C1340,0,188,188,188,10,0,0,0
8D31836A6C3C14CE71056BED8925F0A4,0,227,227,227,12,,-4302,
11966F5337D5D08DD1444F21484B7535,0,257,257,257,15,,0,
B42CD43328FFA37DA41BC64C3DC1BB38,0,73,73,73,12,,0,
6AC7CD91D56EECD5451A8FA289528AB8,0,408,186,186,22,8,1,9
1C65943AF5217570A2E4D9B58B6E6FC4,0,110,110,110,12,0,2,2
AA37E1800EE190427D90B4F42665C8C3,0,242,88,226,10,0,,
3FC8ECFC8F2976C5B56D0D782F36BD7F,0,117,117,117,10,0,0,1
0393E8CD10D9BAF3E2F06D31395151E6,0,964,176,176,23,1189,0,
C81582DA82D419261F80AAB49AC156AD,0,133,102,104,9,0,1,0
D147313DDA176922E11FB96DC1C800B9,0,296,148,295,18,0,-5618,1
D233EC5285D7ECB23023902D5CB812E6,0,82,82,82,14,,7,
844CEC10DB0368E8B73A1C7BBF702C6B,0,327,327,327,18,,1,
79CAA00790D06BC25052329F4ED99BFC,0,867,513,513,20,45,1,
29DB77B0FD019E4FAA6BE4465F3F8597,0,391,238,238,15,1,4,3
D55D4E5B60368F4BE64F16EFD78B2BE7,0,194,30,121,11,0,235,236
